"","title","cluster","subcluster","item","amount"
"137","Status_GBV","bad","individual","n.loans",586
"138","Status_GBV","bad","individual","gbv.original",9114200.219
"139","Status_GBV","bad","individual","gbv.residual",9299893.229
"140","Status_GBV","bad","individual","principal",6974919.92175
"141","Status_GBV","bad",NA,"n",1
"142","Status_GBV","bad",NA,"n.loans",1
"143","Status_GBV","bad",NA,"gbv.original",7173.39
"144","Status_GBV","bad",NA,"gbv.residual",8577.75
"145","Status_GBV","bad",NA,"principal",6433.3125
"146","Status_GBV",NA,"corporate","n",91
"147","Status_GBV",NA,"corporate","n.loans",158
"148","Status_GBV",NA,"corporate","gbv.original",4811169.8
"149","Status_GBV",NA,"corporate","gbv.residual",5263128.71
"150","Status_GBV",NA,"corporate","principal",3947346.5325
"151","Status_GBV",NA,"individual","n",1942
"152","Status_GBV",NA,"individual","n.loans",3254
"153","Status_GBV",NA,"individual","gbv.original",40213353.36
"154","Status_GBV",NA,"individual","gbv.residual",41381228.832
"155","Status_GBV",NA,"individual","principal",31035921.624
